orf19_column,feature_column,common_column,plate_column,condition,UP,DN,batch,DOX
orf19,feature,common,plate,Temp37,A_Temp1_UP,A_Temp1_DN,1,False
orf19,feature,common,plate,Temp37,B_Temp1_UP,B_Temp1_DN,1,False
orf19,feature,common,plate,Temp37,C_Temp1_UP,C_Temp1_DN,1,False
orf19,feature,common,plate,Temp37,A_Temp2_UP,A_Temp2_DN,2,False
orf19,feature,common,plate,Temp37,B_Temp2_UP,B_Temp2_DN,2,False
orf19,feature,common,plate,Temp37,C_Temp2_UP,C_Temp2_DN,2,False
orf19,feature,common,plate,Temp37,A_Temp1_DOX_UP,A_Temp1_DOX_DN,1,True
orf19,feature,common,plate,Temp37,B_Temp1_DOX_UP,B_Temp1_DOX_DN,1,True
orf19,feature,common,plate,Temp37,C_Temp1_DOX_UP,C_Temp1_DOX_DN,1,True
orf19,feature,common,plate,Temp37,A_Temp2_DOX_UP,A_Temp2_DOX_DN,2,True
orf19,feature,common,plate,Temp37,B_Temp2_DOX_UP,B_Temp2_DOX_DN,2,True
orf19,feature,common,plate,Temp37,C_Temp2_DOX_UP,C_Temp2_DOX_DN,2,True
orf19,feature,common,plate,YNB,A_YNB1_UP,A_YNB1_DN,1,False
orf19,feature,common,plate,YNB,B_YNB1_UP,B_YNB1_DN,1,False
orf19,feature,common,plate,YNB,C_YNB1_UP,C_YNB1_DN,1,False
orf19,feature,common,plate,YNB,A_YNB1_DOX_UP,A_YNB1_DOX_DN,1,True
orf19,feature,common,plate,YNB,B_YNB1_DOX_UP,B_YNB1_DOX_DN,1,True
orf19,feature,common,plate,YNB,C_YNB1_DOX_UP,C_YNB1_DOX_DN,1,True
orf19,feature,common,plate,YNB,A_YNB2_UP,A_YNB2_DN,2,False
orf19,feature,common,plate,YNB,B_YNB2_UP,B_YNB2_DN,2,False
orf19,feature,common,plate,YNB,C_YNB2_UP,C_YNB2_DN,2,False
orf19,feature,common,plate,YNB,A_YNB2_DOX_UP,A_YNB2_DOX_DN,2,True
orf19,feature,common,plate,YNB,B_YNB2_DOX_UP,B_YNB2_DOX_DN,2,True
orf19,feature,common,plate,YNB,C_YNB2_DOX_UP,C_YNB2_DOX_DN,2,True
orf19,feature,common,plate,YNB,A_YNB3_UP,A_YNB3_DN,3,False
orf19,feature,common,plate,YNB,B_YNB3_UP,B_YNB3_DN,3,False
orf19,feature,common,plate,YNB,C_YNB3_UP,C_YNB3_DN,3,False
orf19,feature,common,plate,YNB,A_YNB3_DOX_UP,A_YNB3_DOX_DN,3,True
orf19,feature,common,plate,YNB,B_YNB3_DOX_UP,B_YNB3_DOX_DN,3,True
orf19,feature,common,plate,YNB,C_YNB3_DOX_UP,C_YNB3_DOX_DN,3,True
orf19,feature,common,plate,YNB,A_YNB4_UP,A_YNB4_DN,4,False
orf19,feature,common,plate,YNB,B_YNB4_UP,B_YNB4_DN,4,False
orf19,feature,common,plate,YNB,C_YNB4_UP,C_YNB4_DN,4,False
orf19,feature,common,plate,YNB,A_YNB4_DOX_UP,A_YNB4_DOX_DN,4,True
orf19,feature,common,plate,YNB,B_YNB4_DOX_UP,B_YNB4_DOX_DN,4,True
orf19,feature,common,plate,YNB,C_YNB4_DOX_UP,C_YNB4_DOX_DN,4,True
orf19,feature,common,plate,YNB,A_YNB5_UP,A_YNB5_DN,5,False
orf19,feature,common,plate,YNB,B_YNB5_UP,B_YNB5_DN,5,False
orf19,feature,common,plate,YNB,C_YNB5_UP,C_YNB5_DN,5,False
orf19,feature,common,plate,YNB,A_YNB5_DOX_UP,A_YNB5_DOX_DN,5,True
orf19,feature,common,plate,YNB,B_YNB5_DOX_UP,B_YNB5_DOX_DN,5,True
orf19,feature,common,plate,YNB,C_YNB5_DOX_UP,C_YNB5_DOX_DN,5,True
